A,B,C,X
2.3104526183238385,0.0203593766196119,'L3',P12
1.1374335984347352,0.2096289553394443,'L2',P13
-2.1788202193016453,0.2032814082519488,'L2',P6
2.026888122929285,0.0174414531035153,'L2',P13
2.5807208082453355,0.1870863162231354,'L2',P13
3.17369522624692,0.0380210760892257,'L3',P12
-0.2474104347432067,0.1801662439811875,'L2',P16
-1.7366408381305818,0.1607022225787186,'L1',P2
-1.710708586754169,0.2499356900901881,'L2',P6
3.695494253316762,0.0836560735902395,'L2',P14
1.385391303349857,0.0594858934380129,'L3',P10
-1.7062050177280366,0.1295560900095383,'L2',P6
0.5774071035056505,0.0071214118701137,'L1',P1
-1.4577074300755477,0.0928262806808987,'L2',P6
3.185489955678104,0.1767150894948897,'L1',P1
-1.920970798954327,0.1250518380305225,'L1',P3
2.694731524380351,0.2154167183504851,'L3',P12
0.5881652613785695,0.0378795796671341,'L3',P10
-0.9563489362335836,0.1820994457646918,'L2',P5
1.889235593605077,0.1591068819551523,'L3',P12
0.9126232776413364,0.0253945876485457,'L2',P13
-2.390365057016394,0.1537794894375101,'L2',P5
-2.749298208594216,0.1048306600326024,'L1',P2
-1.2461078849124925,0.0923034731266393,'L2',P8
2.798720292467543,0.1608734400308301,'L2',P13
-2.111020480919675,0.1468113767723461,'L1',P3
3.10484716436378,0.0765626049131002,'L1',P1
-1.7846394330977895,0.0517057624698847,'L1',P3
-0.9301373693371022,0.1180943513813341,'L2',P7
-1.567146232716166,0.1527449513760664,'L2',P8
2.109814709226553,0.0499540185143007,'L3',P11
-3.3859906166601696,0.245767874779685,'L2',P5
3.531081584906433,0.1151675541625498,'L2',P13
-0.4232344151635219,0.1218393073486343,'L2',P16
0.3013705667144656,0.2207434662366234,'L2',P8
1.7760308086079235,0.050680459559173,'L3',P11
-1.959182525707,0.2208259101513942,'L2',P5
1.1777626297603685,0.0325594697025835,'L2',P16
2.294484948937794,0.1263170599910319,'L3',P10
0.7132198664465546,0.008999018734096,'L2',P15
-0.5904617595852164,0.2481420911556957,'L2',P6
-0.7649201787664215,0.0586760708212365,'L2',P16
2.594891145472668,0.2038124520518456,'L2',P8
-0.8657700460822084,0.1829988715238147,'L2',P6
0.3736476512080201,0.0090002421014919,'L2',P16
1.2125474250961614,0.0076518625228029,'L2',P13
3.359055341073289,0.1467602588744934,'L3',P11
1.818982005949093,0.1433960181030761,'L3',P11
0.0451095727861523,0.0706296299013927,'L2',P8
0.8988863259610701,0.1525989484897957,'L3',P10
0.994444047066508,0.2185494621777628,'L3',P10
0.6561870518858467,0.1121280519255349,'L1',P1
-0.7473188892501502,0.2219110951694855,'L1',P2
-2.054796701213812,0.153324899028591,'L1',P4
2.345508863797772,0.0430547793183325,'L2',P13
-0.3151365836575435,0.0603147322848325,'L3',P11
2.375900226132128,0.1727543248085772,'L3',P12
-0.218384928595448,0.1986643595485068,'L3',P11
-2.7088533911591397,0.0575787380836957,'L1',P4
-1.7814182719764504,0.2419380388965924,'L2',P6
0.3821256015971604,0.0421962943076132,'L3',P9
-2.437943753639487,0.1349438574372756,'L1',P4
0.8270326504702086,0.0714330110450067,'L2',P13
2.5161846629806472,0.1511292934655524,'L2',P13
1.511939717947488,0.0125784723255768,'L3',P10
0.0829618988001912,0.2322724012106304,'L2',P16
0.5533882273660813,0.1503312648878953,'L3',P9
1.2834009862234024,0.1901907952223451,'L3',P9
0.3720179536380138,0.124726991227314,'L2',P14
3.1118641143437213,0.0619826112689498,'L2',P13
-2.768711489351161,0.0032492408912481,'L2',P5
-4.468698772984939,0.2367934050608338,'L1',P3
1.904584593771264,0.0701618595009655,'L3',P11
0.5354577908169065,0.2307679158386729,'L2',P7
-0.7325262963897803,0.0520364955713687,'L1',P1
-2.197410456894729,0.089488719995007,'L1',P3
-1.9706337839266364,0.0227421499563162,'L1',P2
-0.9373256897584112,0.1584935407896163,'L1',P3
2.0724600583248787,0.1523836801541435,'L3',P10
1.7652543396698976,0.0373467767599696,'L3',P11
-1.665247233309394,0.1877909740608679,'L2',P16
1.093701357985378,0.0378087866160317,'L3',P11
0.9732697386592526,0.1804587156976484,'L2',P15
0.3901320755241479,0.2423939340670747,'L2',P14
2.777870485521014,0.1578001641712929,'L2',P13
-0.7213899367954271,0.149508317780187,'L2',P7
3.0924195111713795,0.237067046569279,'L3',P11
-2.189455445001116,0.1082007017526922,'L1',P3
2.3900194290514856,0.1108941012075956,'L3',P11
0.4670190929757639,0.2064931146912198,'L3',P9
2.652158944607793,0.0514845835919434,'L1',P1
0.7291757947008763,0.0519445496575427,'L2',P7
-1.1098842381355405,0.0048688209643389,'L1',P2
-0.0585553727162346,0.247623730166222,'L2',P8
