            V1  V3='L1'  V3='L2'  V3='L3'
(-3.56, -3.18]        0        0        4
(-3.18, -2.79]        0        0        3
(-2.79, -2.41]        0        0        4
(-2.41, -2.02]        0        0        6
(-2.02, -1.64]        0        0       11
(-1.64, -1.26]        0        0        8
(-1.26, -0.87]        0        4        7
(-0.87, -0.49]        0       10        0
(-0.49, -0.11]        0       15        0
 (-0.11, 0.28]        0       16        0
  (0.28, 0.66]        0       12        0
  (0.66, 1.04]        2       11        0
  (1.04, 1.43]       16        0        0
  (1.43, 1.81]       13        0        0
  (1.81, 2.19]        8        0        0
  (2.19, 2.58]       13        0        0
  (2.58, 2.96]        7        0        0
  (2.96, 3.34]        2        0        0
  (3.34, 3.73]        4        0        0
  (3.73, 4.11]        2        0        0
