            V2  V3='L1'  V3='L2'  V3='L3'
(-7.70, -6.68]        0        2        3
(-6.68, -5.66]        0        1        3
(-5.66, -4.64]        1        1        3
(-4.64, -3.62]        6        8        2
(-3.62, -2.60]        2        4        3
(-2.60, -1.58]        2       10        3
(-1.58, -0.55]        2        7        6
 (-0.55, 0.47]        9        8        6
  (0.47, 1.49]        7        3        8
  (1.49, 2.51]        7       10        4
  (2.51, 3.53]       10        4        0
  (3.53, 4.55]        6        3        1
  (4.55, 5.57]        6        4        2
  (5.57, 6.59]        4        2        0
  (6.59, 7.61]        5        0        0
