P,N,O
5.0,1.4714887922366762,"(1.348, 1.598]"
6.0,1.4632567149523086,"(1.099, 1.348]"
6.0,-0.1687058455990099,"(0.849, 1.099]"
8.0,2.3904081130489025,"(0.849, 1.099]"
7.0,1.5840303140998857,"(1.348, 1.598]"
8.0,0.3334713525495992,"(1.099, 1.348]"
5.0,-1.769538454709544,"(1.099, 1.348]"
4.0,0.0371249060391802,"(0.6, 0.849]"
4.0,0.6425181711619885,"(0.849, 1.099]"
6.0,0.3989679339229259,"(0.849, 1.099]"
7.0,2.2682477692220906,"(0.849, 1.099]"
7.0,1.9504323605489575,"(1.099, 1.348]"
8.0,2.4333454661115805,"(0.849, 1.099]"
7.0,0.010719803685177,"(0.6, 0.849]"
2.0,-1.8849761096973636,"(0.349, 0.6]"
7.0,-2.282636001002833,"(0.849, 1.099]"
7.0,-0.657953856474244,"(0.6, 0.849]"
2.0,-2.4526988515807147,"(0.849, 1.099]"
7.0,-0.4129857453397031,"(0.6, 0.849]"
7.0,-0.3612777000537729,"(0.849, 1.099]"
7.0,0.3767298920768547,"(0.6, 0.849]"
8.0,0.4838544272234633,"(0.849, 1.099]"
2.0,-1.9642663710180008,"(0.349, 0.6]"
6.0,-0.4294917262646306,"(0.849, 1.099]"
8.0,-2.699387804710582,"(0.849, 1.099]"
6.0,0.7408753122031935,"(1.099, 1.348]"
4.0,-2.3245355107847794,"(0.6, 0.849]"
4.0,-2.0612866493940767,"(0.6, 0.849]"
5.0,-2.381940535011401,"(0.349, 0.6]"
6.0,-0.601693212265421,"(0.849, 1.099]"
5.0,0.7263688236761798,"(0.6, 0.849]"
5.0,-2.110610514711645,"(0.349, 0.6]"
3.0,-3.137057386680013,"(0.349, 0.6]"
4.0,0.0228281967757701,"(1.099, 1.348]"
4.0,-0.5661124454561983,"(0.849, 1.099]"
5.0,2.2015677313429944,"(1.348, 1.598]"
9.0,2.0744714590441653,"(0.849, 1.099]"
6.0,1.8608016095050124,"(1.099, 1.348]"
5.0,-1.848954736157668,"(0.849, 1.099]"
6.0,-0.32231547164484,"(1.099, 1.348]"
5.0,0.087395053327673,"(0.849, 1.099]"
5.0,2.187402200347495,"(1.348, 1.598]"
8.0,-2.4414662042087576,"(0.849, 1.099]"
3.0,-1.8970355193116195,"(0.6, 0.849]"
4.0,-1.5280843760659526,"(0.849, 1.099]"
6.0,-1.4826732878876951,"(0.349, 0.6]"
9.0,1.5035729798687592,"(1.099, 1.348]"
7.0,-0.2424656874288595,"(0.849, 1.099]"
4.0,-1.3546928161047729,"(0.6, 0.849]"
5.0,0.5863537280545031,"(0.6, 0.849]"
8.0,-0.0736903190811501,"(1.099, 1.348]"
4.0,1.456240475672396,"(0.849, 1.099]"
6.0,0.3794134793046981,"(0.6, 0.849]"
5.0,-1.8979540206240213,"(0.349, 0.6]"
7.0,-2.4285614125353767,"(0.349, 0.6]"
8.0,-1.7358172135549914,"(0.849, 1.099]"
7.0,-0.8607226108429085,"(0.849, 1.099]"
5.0,-2.059581456744071,"(0.849, 1.099]"
7.0,-1.8924518684927916,"(0.6, 0.849]"
7.0,-1.3393759360035715,"(0.849, 1.099]"
7.0,-0.1245006066880716,"(1.099, 1.348]"
5.0,0.7670391967095285,"(1.099, 1.348]"
7.0,2.5100741886276188,"(1.348, 1.598]"
9.0,-1.1941360926810811,"(0.6, 0.849]"
4.0,0.6827934678084275,"(0.849, 1.099]"
6.0,0.2273119143173494,"(1.099, 1.348]"
10.0,-0.1862407815868632,"(0.6, 0.849]"
7.0,0.5845289063284016,"(0.849, 1.099]"
9.0,1.3681753965903418,"(0.6, 0.849]"
7.0,-1.4921550382295532,"(0.6, 0.849]"
9.0,-0.30457895636442,"(0.849, 1.099]"
4.0,-2.310694487412456,"(0.6, 0.849]"
4.0,-0.0451891102148431,"(0.849, 1.099]"
4.0,-2.308395568655577,"(1.099, 1.348]"
6.0,-0.2403630757995142,"(1.099, 1.348]"
6.0,1.874858558361547,"(1.099, 1.348]"
4.0,0.5096202500991246,"(1.099, 1.348]"
5.0,-0.0658115179101833,"(0.849, 1.099]"
4.0,-0.2094179031517716,"(0.849, 1.099]"
5.0,-0.5502107115900627,"(1.099, 1.348]"
6.0,1.016112942435783,"(1.099, 1.348]"
7.0,2.3226924539407303,"(1.348, 1.598]"
5.0,-0.1788428353255324,"(0.6, 0.849]"
5.0,-2.2912094142931663,"(0.849, 1.099]"
6.0,1.6775326121713672,"(0.6, 0.849]"
6.0,2.4352375512413005,"(1.099, 1.348]"
4.0,0.7094119548552461,"(0.349, 0.6]"
12.0,2.2308578173935247,"(0.849, 1.099]"
