P,O,N
5.0,1.4646333265570943,"(0.472, 1.758]"
6.0,1.2122374704138683,"(0.472, 1.758]"
6.0,1.0004373743874282,"(-0.813, 0.472]"
8.0,1.075754948172941,"(1.758, 3.043]"
7.0,1.4889680005851325,"(0.472, 1.758]"
8.0,1.2968472449348725,"(-0.813, 0.472]"
5.0,1.1330303526870462,"(-2.098, -0.813]"
4.0,0.6408214345055554,"(-0.813, 0.472]"
4.0,0.9371844250883644,"(0.472, 1.758]"
6.0,0.9817864321979182,"(-0.813, 0.472]"
7.0,1.058681209457634,"(1.758, 3.043]"
7.0,1.1295844507927164,"(1.758, 3.043]"
8.0,0.9780173892771168,"(1.758, 3.043]"
7.0,0.8120887094487848,"(-0.813, 0.472]"
2.0,0.5238747617707702,"(-2.098, -0.813]"
7.0,0.8996392643797992,"(-3.39, -2.098]"
7.0,0.6483768808485764,"(-0.813, 0.472]"
2.0,0.922980610150648,"(-3.39, -2.098]"
7.0,0.8060566071377706,"(-0.813, 0.472]"
7.0,0.987774556565738,"(-0.813, 0.472]"
7.0,0.7898558311024144,"(-0.813, 0.472]"
8.0,1.0244627734506977,"(0.472, 1.758]"
2.0,0.4999244478356678,"(-2.098, -0.813]"
6.0,1.0156158965000897,"(-0.813, 0.472]"
8.0,0.8885616175019624,"(-3.39, -2.098]"
6.0,1.1049028721685443,"(0.472, 1.758]"
4.0,0.6995485451738999,"(-3.39, -2.098]"
4.0,0.7779616825937361,"(-2.098, -0.813]"
5.0,0.441580919140715,"(-3.39, -2.098]"
6.0,0.9269395766012032,"(-0.813, 0.472]"
5.0,0.7559908845256065,"(0.472, 1.758]"
5.0,0.5082417535152417,"(-3.39, -2.098]"
3.0,0.3536925025711365,"(-3.39, -2.098]"
4.0,1.2868999546341966,"(-0.813, 0.472]"
4.0,0.9476605744092336,"(-0.813, 0.472]"
5.0,1.3551090697385626,"(1.758, 3.043]"
9.0,0.930378258109045,"(1.758, 3.043]"
6.0,1.272287653047269,"(1.758, 3.043]"
5.0,0.8625181636845838,"(-2.098, -0.813]"
6.0,1.124784298572191,"(-0.813, 0.472]"
5.0,1.0080018583068209,"(-0.813, 0.472]"
5.0,1.5978710162488163,"(1.758, 3.043]"
8.0,1.0167995433606063,"(-3.39, -2.098]"
3.0,0.7215796890291499,"(-2.098, -0.813]"
4.0,1.096490243743974,"(-2.098, -0.813]"
6.0,0.404164948402541,"(-2.098, -0.813]"
9.0,1.129175028794155,"(0.472, 1.758]"
7.0,0.8704135802162463,"(-0.813, 0.472]"
4.0,0.6857293445566075,"(-2.098, -0.813]"
5.0,0.8402560397784735,"(0.472, 1.758]"
8.0,1.240743705119412,"(-0.813, 0.472]"
4.0,0.8500546943727809,"(0.472, 1.758]"
6.0,0.654709586520813,"(-0.813, 0.472]"
5.0,0.5441928971128114,"(-2.098, -0.813]"
7.0,0.5671088544778169,"(-3.39, -2.098]"
8.0,0.9550564857530393,"(-2.098, -0.813]"
7.0,0.9516266398048504,"(-2.098, -0.813]"
5.0,1.098176113483809,"(-2.098, -0.813]"
7.0,0.6902523728612395,"(-2.098, -0.813]"
7.0,1.0297240724026084,"(-2.098, -0.813]"
7.0,1.2154282906473135,"(-0.813, 0.472]"
5.0,1.2527111782939029,"(0.472, 1.758]"
7.0,1.350320277327418,"(1.758, 3.043]"
9.0,0.6016365628129676,"(-2.098, -0.813]"
4.0,1.054162722875187,"(0.472, 1.758]"
6.0,1.2515915415614425,"(-0.813, 0.472]"
10.0,0.7226864894468388,"(-0.813, 0.472]"
7.0,0.9257932254744644,"(0.472, 1.758]"
9.0,0.8474347855547456,"(0.472, 1.758]"
7.0,0.8110484899949613,"(-2.098, -0.813]"
9.0,0.9432413452584232,"(-0.813, 0.472]"
4.0,0.6136096612207484,"(-3.39, -2.098]"
4.0,0.9573340443731104,"(-0.813, 0.472]"
4.0,1.151433014234699,"(-3.39, -2.098]"
6.0,1.1255239345631396,"(-0.813, 0.472]"
6.0,1.2737323050027345,"(1.758, 3.043]"
4.0,1.12465594547768,"(0.472, 1.758]"
5.0,1.0397295645767262,"(-0.813, 0.472]"
4.0,0.8765577969694693,"(-0.813, 0.472]"
5.0,1.1799311135423678,"(-0.813, 0.472]"
6.0,1.246821465175908,"(0.472, 1.758]"
7.0,1.391164579909251,"(1.758, 3.043]"
5.0,0.7711903110858933,"(-0.813, 0.472]"
5.0,1.0546282787894,"(-3.39, -2.098]"
6.0,0.821520415236066,"(0.472, 1.758]"
6.0,1.211734315921439,"(1.758, 3.043]"
4.0,0.5734443181625984,"(0.472, 1.758]"
12.0,0.9177356613923866,"(1.758, 3.043]"
7.0,1.4844246084715005,"(0.472, 1.758]"
7.0,0.4504104838053221,"(-0.813, 0.472]"
2.0,1.1626823020530446,"(-2.098, -0.813]"
7.0,1.1094932376761042,"(-0.813, 0.472]"
7.0,0.8909243583724371,"(-2.098, -0.813]"
6.0,1.286732361582373,"(1.758, 3.043]"
6.0,0.9384351408421918,"(-3.39, -2.098]"
7.0,0.8064827199241893,"(-0.813, 0.472]"
10.0,1.2192487716500626,"(1.758, 3.043]"
6.0,1.1282525531906922,"(-0.813, 0.472]"
8.0,0.886498308391154,"(-3.39, -2.098]"
7.0,1.2933213177353229,"(1.758, 3.043]"
6.0,0.7157928206339286,"(-2.098, -0.813]"
4.0,0.8427369526635944,"(-3.39, -2.098]"
9.0,0.8973338303081135,"(0.472, 1.758]"
4.0,0.7583658535361951,"(1.758, 3.043]"
6.0,1.0075319435373893,"(-0.813, 0.472]"
7.0,0.580913925823424,"(-0.813, 0.472]"
4.0,1.290921281084258,"(-0.813, 0.472]"
7.0,1.22424119054306,"(-0.813, 0.472]"
4.0,0.8445435774434206,"(-0.813, 0.472]"
10.0,1.2025939827227587,"(1.758, 3.043]"
7.0,1.5913286839938126,"(1.758, 3.043]"
7.0,0.8527719730233696,"(-0.813, 0.472]"
2.0,0.5843923144248904,"(-3.39, -2.098]"
6.0,1.293218656967559,"(-0.813, 0.472]"
11.0,0.8757276756008694,"(1.758, 3.043]"
4.0,0.9538871363206254,"(-0.813, 0.472]"
6.0,1.245974462363038,"(1.758, 3.043]"
7.0,1.152689980482771,"(-0.813, 0.472]"
6.0,0.6213344624725743,"(-0.813, 0.472]"
8.0,0.8930568021455889,"(1.758, 3.043]"
5.0,0.7698560206247658,"(0.472, 1.758]"
5.0,0.7834676708751163,"(-0.813, 0.472]"
9.0,0.9952650360940904,"(-0.813, 0.472]"
4.0,0.4892571224509818,"(-3.39, -2.098]"
4.0,0.3505120008376644,"(-2.098, -0.813]"
6.0,0.7945743560265986,"(0.472, 1.758]"
5.0,0.948477063094228,"(-3.39, -2.098]"
3.0,0.712082047620159,"(-2.098, -0.813]"
3.0,1.254270915301599,"(-3.39, -2.098]"
5.0,0.6210790969748512,"(-3.39, -2.098]"
5.0,1.2473405809105194,"(0.472, 1.758]"
6.0,1.4282274813686646,"(1.758, 3.043]"
5.0,1.2120595649083037,"(-0.813, 0.472]"
6.0,0.6098462279866229,"(-0.813, 0.472]"
3.0,1.059457629191752,"(-2.098, -0.813]"
7.0,0.9932051622774476,"(-0.813, 0.472]"
7.0,0.8835642332840832,"(1.758, 3.043]"
6.0,1.19579128563074,"(0.472, 1.758]"
7.0,0.7349178001350065,"(-2.098, -0.813]"
8.0,0.8616055976349631,"(0.472, 1.758]"
5.0,0.8197535268038116,"(-0.813, 0.472]"
3.0,0.8757711161118578,"(-2.098, -0.813]"
7.0,0.865805317010199,"(-2.098, -0.813]"
9.0,0.986242764064343,"(1.758, 3.043]"
6.0,0.7194027474951907,"(-2.098, -0.813]"
7.0,0.6337052126039877,"(-3.39, -2.098]"
5.0,0.8927345646626392,"(0.472, 1.758]"
2.0,0.9250373604572748,"(-3.39, -2.098]"
4.0,0.9817457525864144,"(-0.813, 0.472]"
6.0,0.951686059229546,"(-0.813, 0.472]"
5.0,0.8311351781311282,"(-2.098, -0.813]"
6.0,1.1525708093141198,"(-3.39, -2.098]"
