             Z  Category=High  Category=Low  Category=Mid
(-1.73, -0.62]              5             5             2
 (-0.62, 0.50]             16            10            13
  (0.50, 1.61]             19            16            12
  (1.61, 2.73]             10            11             5
  (2.73, 3.84]              4             5             1
  (3.84, 4.96]              3             0             3
  (4.96, 6.07]              0             1             2
  (6.07, 7.19]              0             0             0
  (7.19, 8.31]              0             1             0
  (8.31, 9.42]              0             0             0
 (9.42, 10.54]              0             0             0
(10.54, 11.65]              0             0             0
(11.65, 12.77]              0             0             0
(12.77, 13.88]              0             0             0
(13.88, 15.00]              0             1             0
