             Y  C='L1'  C='L2'  C='L3'
  (3.70, 4.55]       1       0       0
  (4.55, 5.40]       3       0       0
  (5.40, 6.25]       1       2       0
  (6.25, 7.09]       2       0       0
  (7.09, 7.94]       2       6       0
  (7.94, 8.79]       4       7       0
  (8.79, 9.64]       1       5       2
 (9.64, 10.49]       1       3       4
(10.49, 11.34]       1       7       3
(11.34, 12.18]       1       3       1
(12.18, 13.03]       0       3       4
(13.03, 13.88]       0       6       5
(13.88, 14.73]       2       2       3
(14.73, 15.58]       1       1       5
(15.58, 16.43]       0       1       0
