N,P,M
1.4714887922366762,5.0,2
1.4632567149523086,6.0,2
-0.1687058455990099,6.0,1
2.3904081130489025,8.0,2
1.5840303140998857,7.0,2
0.3334713525495992,8.0,1
-1.769538454709544,5.0,0
0.0371249060391802,4.0,1
0.6425181711619885,4.0,1
0.3989679339229259,6.0,1
2.2682477692220906,7.0,2
1.9504323605489575,7.0,2
2.4333454661115805,8.0,2
0.010719803685177,7.0,1
-1.8849761096973636,2.0,0
-2.282636001002833,7.0,0
-0.657953856474244,7.0,1
-2.4526988515807147,2.0,0
-0.4129857453397031,7.0,1
-0.3612777000537729,7.0,1
0.3767298920768547,7.0,1
0.4838544272234633,8.0,1
-1.9642663710180008,2.0,0
-0.4294917262646306,6.0,1
-2.699387804710582,8.0,0
0.7408753122031935,6.0,2
-2.3245355107847794,4.0,0
-2.0612866493940767,4.0,0
-2.381940535011401,5.0,0
-0.601693212265421,6.0,1
0.7263688236761798,5.0,1
-2.110610514711645,5.0,0
-3.137057386680013,3.0,0
0.0228281967757701,4.0,1
-0.5661124454561983,4.0,1
2.2015677313429944,5.0,2
2.0744714590441653,9.0,2
1.8608016095050124,6.0,2
-1.848954736157668,5.0,0
-0.32231547164484,6.0,1
0.087395053327673,5.0,1
2.187402200347495,5.0,2
-2.4414662042087576,8.0,0
-1.8970355193116195,3.0,0
-1.5280843760659526,4.0,0
-1.4826732878876951,6.0,0
1.5035729798687592,9.0,2
-0.2424656874288595,7.0,1
-1.3546928161047729,4.0,0
0.5863537280545031,5.0,1
-0.0736903190811501,8.0,1
1.456240475672396,4.0,2
0.3794134793046981,6.0,1
-1.8979540206240213,5.0,0
-2.4285614125353767,7.0,0
-1.7358172135549914,8.0,0
-0.8607226108429085,7.0,1
-2.059581456744071,5.0,0
-1.8924518684927916,7.0,0
-1.3393759360035715,7.0,0
-0.1245006066880716,7.0,1
0.7670391967095285,5.0,1
2.5100741886276188,7.0,2
-1.1941360926810811,9.0,0
0.6827934678084275,4.0,1
0.2273119143173494,6.0,1
-0.1862407815868632,10.0,1
0.5845289063284016,7.0,1
1.3681753965903418,9.0,2
-1.4921550382295532,7.0,0
-0.30457895636442,9.0,1
-2.310694487412456,4.0,0
-0.0451891102148431,4.0,1
-2.308395568655577,4.0,0
-0.2403630757995142,6.0,1
1.874858558361547,6.0,2
0.5096202500991246,4.0,1
-0.0658115179101833,5.0,1
-0.2094179031517716,4.0,1
-0.5502107115900627,5.0,1
1.016112942435783,6.0,1
2.3226924539407303,7.0,2
-0.1788428353255324,5.0,1
-2.2912094142931663,5.0,0
1.6775326121713672,6.0,2
2.4352375512413005,6.0,2
0.7094119548552461,4.0,1
2.2308578173935247,12.0,2
1.5424543537479047,7.0,2
-0.670828113369982,7.0,0
-1.260843038038893,2.0,1
-0.3202629921035895,7.0,1
-1.173781623471542,7.0,0
2.6882613857638944,6.0,2
-3.3837031250864387,6.0,0
0.4399583078581132,7.0,1
2.436122527644956,10.0,2
-0.2858776249991054,6.0,1
-2.346469247006685,8.0,0
2.0831585873420693,7.0,2
-1.9689659089130285,6.0,0
-2.345008902141229,4.0,0
1.3128762637011624,9.0,2
1.8319882544877024,4.0,2
0.0566470688970174,6.0,1
-0.381872634375541,7.0,1
0.0747107196268395,4.0,1
-0.0292986669362872,7.0,1
0.033935681957005,4.0,1
2.0053675275593883,10.0,2
2.1560375617366017,7.0,2
0.4125664447592207,7.0,1
-2.457658107037897,2.0,0
-0.0152285615875527,6.0,1
1.814134744014872,11.0,2
-0.761410274835894,4.0,1
2.455454726813513,6.0,2
-0.3988617068486427,7.0,1
0.3017884283085085,6.0,1
3.04290350696461,8.0,2
0.9787575220566004,5.0,1
0.0345272811763892,5.0,1
0.3772867216074172,9.0,1
-2.254092239243824,4.0,0
-1.9531279018653271,4.0,0
0.8751552608025956,6.0,1
-2.128548991310667,5.0,0
-1.9226649637553277,3.0,0
-2.3601773652699185,3.0,0
-2.74272571734795,5.0,0
1.2976371894864938,5.0,2
1.9349713359821143,6.0,2
0.3132469479221487,5.0,1
-0.2677602681116567,6.0,1
-1.7193026109966656,3.0,0
-0.6022153349505874,7.0,0
2.80181934117314,7.0,2
0.5871282548777104,6.0,1
-1.3691033081207644,7.0,0
1.5987069666992393,8.0,2
0.342260367503792,5.0,1
-1.8730974618579588,3.0,0
-0.8275271309041662,7.0,1
1.9746244864455225,9.0,2
-1.7669028065484604,6.0,0
-2.8307946184859967,7.0,0
0.6479129372373539,5.0,1
-2.5502218685003677,2.0,0
0.0792890023309193,4.0,1
-0.0355839852492454,6.0,1
-1.8834793240655288,5.0,0
-2.438308429429121,6.0,0
