P,N,M
5.0,1.4714887922366762,2
6.0,1.4632567149523086,2
6.0,-0.1687058455990099,1
8.0,2.3904081130489025,2
7.0,1.5840303140998857,2
8.0,0.3334713525495992,1
5.0,-1.769538454709544,0
4.0,0.0371249060391802,1
4.0,0.6425181711619885,1
6.0,0.3989679339229259,1
7.0,2.2682477692220906,2
7.0,1.9504323605489575,2
8.0,2.4333454661115805,2
7.0,0.010719803685177,1
2.0,-1.8849761096973636,0
7.0,-2.282636001002833,0
7.0,-0.657953856474244,1
2.0,-2.4526988515807147,0
7.0,-0.4129857453397031,1
7.0,-0.3612777000537729,1
7.0,0.3767298920768547,1
8.0,0.4838544272234633,1
2.0,-1.9642663710180008,0
6.0,-0.4294917262646306,1
8.0,-2.699387804710582,0
6.0,0.7408753122031935,2
4.0,-2.3245355107847794,0
4.0,-2.0612866493940767,0
5.0,-2.381940535011401,0
6.0,-0.601693212265421,1
5.0,0.7263688236761798,1
5.0,-2.110610514711645,0
3.0,-3.137057386680013,0
4.0,0.0228281967757701,1
4.0,-0.5661124454561983,1
5.0,2.2015677313429944,2
9.0,2.0744714590441653,2
6.0,1.8608016095050124,2
5.0,-1.848954736157668,0
6.0,-0.32231547164484,1
5.0,0.087395053327673,1
5.0,2.187402200347495,2
8.0,-2.4414662042087576,0
3.0,-1.8970355193116195,0
4.0,-1.5280843760659526,0
6.0,-1.4826732878876951,0
9.0,1.5035729798687592,2
7.0,-0.2424656874288595,1
4.0,-1.3546928161047729,0
5.0,0.5863537280545031,1
8.0,-0.0736903190811501,1
4.0,1.456240475672396,2
6.0,0.3794134793046981,1
5.0,-1.8979540206240213,0
7.0,-2.4285614125353767,0
8.0,-1.7358172135549914,0
7.0,-0.8607226108429085,1
5.0,-2.059581456744071,0
7.0,-1.8924518684927916,0
7.0,-1.3393759360035715,0
7.0,-0.1245006066880716,1
5.0,0.7670391967095285,1
7.0,2.5100741886276188,2
9.0,-1.1941360926810811,0
4.0,0.6827934678084275,1
6.0,0.2273119143173494,1
10.0,-0.1862407815868632,1
7.0,0.5845289063284016,1
9.0,1.3681753965903418,2
7.0,-1.4921550382295532,0
9.0,-0.30457895636442,1
4.0,-2.310694487412456,0
4.0,-0.0451891102148431,1
4.0,-2.308395568655577,0
6.0,-0.2403630757995142,1
6.0,1.874858558361547,2
4.0,0.5096202500991246,1
5.0,-0.0658115179101833,1
4.0,-0.2094179031517716,1
5.0,-0.5502107115900627,1
6.0,1.016112942435783,1
7.0,2.3226924539407303,2
5.0,-0.1788428353255324,1
5.0,-2.2912094142931663,0
6.0,1.6775326121713672,2
6.0,2.4352375512413005,2
4.0,0.7094119548552461,1
12.0,2.2308578173935247,2
7.0,1.5424543537479047,2
7.0,-0.670828113369982,0
2.0,-1.260843038038893,1
7.0,-0.3202629921035895,1
7.0,-1.173781623471542,0
6.0,2.6882613857638944,2
6.0,-3.3837031250864387,0
7.0,0.4399583078581132,1
10.0,2.436122527644956,2
6.0,-0.2858776249991054,1
8.0,-2.346469247006685,0
7.0,2.0831585873420693,2
6.0,-1.9689659089130285,0
4.0,-2.345008902141229,0
9.0,1.3128762637011624,2
4.0,1.8319882544877024,2
6.0,0.0566470688970174,1
7.0,-0.381872634375541,1
4.0,0.0747107196268395,1
7.0,-0.0292986669362872,1
4.0,0.033935681957005,1
10.0,2.0053675275593883,2
7.0,2.1560375617366017,2
7.0,0.4125664447592207,1
2.0,-2.457658107037897,0
6.0,-0.0152285615875527,1
11.0,1.814134744014872,2
4.0,-0.761410274835894,1
6.0,2.455454726813513,2
7.0,-0.3988617068486427,1
6.0,0.3017884283085085,1
8.0,3.04290350696461,2
5.0,0.9787575220566004,1
5.0,0.0345272811763892,1
9.0,0.3772867216074172,1
4.0,-2.254092239243824,0
4.0,-1.9531279018653271,0
6.0,0.8751552608025956,1
5.0,-2.128548991310667,0
3.0,-1.9226649637553277,0
3.0,-2.3601773652699185,0
5.0,-2.74272571734795,0
5.0,1.2976371894864938,2
6.0,1.9349713359821143,2
5.0,0.3132469479221487,1
6.0,-0.2677602681116567,1
3.0,-1.7193026109966656,0
7.0,-0.6022153349505874,0
7.0,2.80181934117314,2
6.0,0.5871282548777104,1
7.0,-1.3691033081207644,0
8.0,1.5987069666992393,2
5.0,0.342260367503792,1
3.0,-1.8730974618579588,0
7.0,-0.8275271309041662,1
9.0,1.9746244864455225,2
6.0,-1.7669028065484604,0
7.0,-2.8307946184859967,0
5.0,0.6479129372373539,1
2.0,-2.5502218685003677,0
4.0,0.0792890023309193,1
6.0,-0.0355839852492454,1
5.0,-1.8834793240655288,0
6.0,-2.438308429429121,0
