             Y  C1=A  C1=B
(-0.69, -0.51]     2     0
(-0.51, -0.34]     2     0
(-0.34, -0.16]     2     0
 (-0.16, 0.02]     1     0
  (0.02, 0.19]     4     0
  (0.19, 0.37]     1     0
  (0.37, 0.55]     2     0
  (0.55, 0.72]     0     0
  (0.72, 0.90]     1     0
  (0.90, 1.08]     0     1
  (1.08, 1.25]     0     1
  (1.25, 1.43]     1     3
  (1.43, 1.61]     0     3
  (1.61, 1.78]     0     5
  (1.78, 1.96]     0     5
  (1.96, 2.14]     0     1
  (2.14, 2.31]     0     7
  (2.31, 2.49]     0     2
  (2.49, 2.67]     0     4
  (2.67, 2.84]     0     5
