N,O,P
1.4714887922366762,1.4646333265570943,"(4.0, 6.0]"
1.4632567149523086,1.2122374704138683,"(4.0, 6.0]"
-0.1687058455990099,1.0004373743874282,"(4.0, 6.0]"
2.3904081130489025,1.075754948172941,"(6.0, 8.0]"
1.5840303140998857,1.4889680005851325,"(6.0, 8.0]"
0.3334713525495992,1.2968472449348725,"(6.0, 8.0]"
-1.769538454709544,1.1330303526870462,"(4.0, 6.0]"
0.0371249060391802,0.6408214345055554,"(1.99, 4.0]"
0.6425181711619885,0.9371844250883644,"(1.99, 4.0]"
0.3989679339229259,0.9817864321979182,"(4.0, 6.0]"
2.2682477692220906,1.058681209457634,"(6.0, 8.0]"
1.9504323605489575,1.1295844507927164,"(6.0, 8.0]"
2.4333454661115805,0.9780173892771168,"(6.0, 8.0]"
0.010719803685177,0.8120887094487848,"(6.0, 8.0]"
-1.8849761096973636,0.5238747617707702,"(1.99, 4.0]"
-2.282636001002833,0.8996392643797992,"(6.0, 8.0]"
-0.657953856474244,0.6483768808485764,"(6.0, 8.0]"
-2.4526988515807147,0.922980610150648,"(1.99, 4.0]"
-0.4129857453397031,0.8060566071377706,"(6.0, 8.0]"
-0.3612777000537729,0.987774556565738,"(6.0, 8.0]"
0.3767298920768547,0.7898558311024144,"(6.0, 8.0]"
0.4838544272234633,1.0244627734506977,"(6.0, 8.0]"
-1.9642663710180008,0.4999244478356678,"(1.99, 4.0]"
-0.4294917262646306,1.0156158965000897,"(4.0, 6.0]"
-2.699387804710582,0.8885616175019624,"(6.0, 8.0]"
0.7408753122031935,1.1049028721685443,"(4.0, 6.0]"
-2.3245355107847794,0.6995485451738999,"(1.99, 4.0]"
-2.0612866493940767,0.7779616825937361,"(1.99, 4.0]"
-2.381940535011401,0.441580919140715,"(4.0, 6.0]"
-0.601693212265421,0.9269395766012032,"(4.0, 6.0]"
0.7263688236761798,0.7559908845256065,"(4.0, 6.0]"
-2.110610514711645,0.5082417535152417,"(4.0, 6.0]"
-3.137057386680013,0.3536925025711365,"(1.99, 4.0]"
0.0228281967757701,1.2868999546341966,"(1.99, 4.0]"
-0.5661124454561983,0.9476605744092336,"(1.99, 4.0]"
2.2015677313429944,1.3551090697385626,"(4.0, 6.0]"
2.0744714590441653,0.930378258109045,"(8.0, 10.0]"
1.8608016095050124,1.272287653047269,"(4.0, 6.0]"
-1.848954736157668,0.8625181636845838,"(4.0, 6.0]"
-0.32231547164484,1.124784298572191,"(4.0, 6.0]"
0.087395053327673,1.0080018583068209,"(4.0, 6.0]"
2.187402200347495,1.5978710162488163,"(4.0, 6.0]"
-2.4414662042087576,1.0167995433606063,"(6.0, 8.0]"
-1.8970355193116195,0.7215796890291499,"(1.99, 4.0]"
-1.5280843760659526,1.096490243743974,"(1.99, 4.0]"
-1.4826732878876951,0.404164948402541,"(4.0, 6.0]"
1.5035729798687592,1.129175028794155,"(8.0, 10.0]"
-0.2424656874288595,0.8704135802162463,"(6.0, 8.0]"
-1.3546928161047729,0.6857293445566075,"(1.99, 4.0]"
0.5863537280545031,0.8402560397784735,"(4.0, 6.0]"
-0.0736903190811501,1.240743705119412,"(6.0, 8.0]"
1.456240475672396,0.8500546943727809,"(1.99, 4.0]"
0.3794134793046981,0.654709586520813,"(4.0, 6.0]"
-1.8979540206240213,0.5441928971128114,"(4.0, 6.0]"
-2.4285614125353767,0.5671088544778169,"(6.0, 8.0]"
-1.7358172135549914,0.9550564857530393,"(6.0, 8.0]"
-0.8607226108429085,0.9516266398048504,"(6.0, 8.0]"
-2.059581456744071,1.098176113483809,"(4.0, 6.0]"
-1.8924518684927916,0.6902523728612395,"(6.0, 8.0]"
-1.3393759360035715,1.0297240724026084,"(6.0, 8.0]"
-0.1245006066880716,1.2154282906473135,"(6.0, 8.0]"
0.7670391967095285,1.2527111782939029,"(4.0, 6.0]"
2.5100741886276188,1.350320277327418,"(6.0, 8.0]"
-1.1941360926810811,0.6016365628129676,"(8.0, 10.0]"
0.6827934678084275,1.054162722875187,"(1.99, 4.0]"
0.2273119143173494,1.2515915415614425,"(4.0, 6.0]"
-0.1862407815868632,0.7226864894468388,"(8.0, 10.0]"
0.5845289063284016,0.9257932254744644,"(6.0, 8.0]"
1.3681753965903418,0.8474347855547456,"(8.0, 10.0]"
-1.4921550382295532,0.8110484899949613,"(6.0, 8.0]"
-0.30457895636442,0.9432413452584232,"(8.0, 10.0]"
-2.310694487412456,0.6136096612207484,"(1.99, 4.0]"
-0.0451891102148431,0.9573340443731104,"(1.99, 4.0]"
-2.308395568655577,1.151433014234699,"(1.99, 4.0]"
-0.2403630757995142,1.1255239345631396,"(4.0, 6.0]"
1.874858558361547,1.2737323050027345,"(4.0, 6.0]"
0.5096202500991246,1.12465594547768,"(1.99, 4.0]"
-0.0658115179101833,1.0397295645767262,"(4.0, 6.0]"
-0.2094179031517716,0.8765577969694693,"(1.99, 4.0]"
-0.5502107115900627,1.1799311135423678,"(4.0, 6.0]"
1.016112942435783,1.246821465175908,"(4.0, 6.0]"
2.3226924539407303,1.391164579909251,"(6.0, 8.0]"
-0.1788428353255324,0.7711903110858933,"(4.0, 6.0]"
-2.2912094142931663,1.0546282787894,"(4.0, 6.0]"
1.6775326121713672,0.821520415236066,"(4.0, 6.0]"
2.4352375512413005,1.211734315921439,"(4.0, 6.0]"
0.7094119548552461,0.5734443181625984,"(1.99, 4.0]"
2.2308578173935247,0.9177356613923866,"(10.0, 12.0]"
1.5424543537479047,1.4844246084715005,"(6.0, 8.0]"
-0.670828113369982,0.4504104838053221,"(6.0, 8.0]"
-1.260843038038893,1.1626823020530446,"(1.99, 4.0]"
-0.3202629921035895,1.1094932376761042,"(6.0, 8.0]"
-1.173781623471542,0.8909243583724371,"(6.0, 8.0]"
2.6882613857638944,1.286732361582373,"(4.0, 6.0]"
-3.3837031250864387,0.9384351408421918,"(4.0, 6.0]"
0.4399583078581132,0.8064827199241893,"(6.0, 8.0]"
2.436122527644956,1.2192487716500626,"(8.0, 10.0]"
-0.2858776249991054,1.1282525531906922,"(4.0, 6.0]"
-2.346469247006685,0.886498308391154,"(6.0, 8.0]"
2.0831585873420693,1.2933213177353229,"(6.0, 8.0]"
-1.9689659089130285,0.7157928206339286,"(4.0, 6.0]"
-2.345008902141229,0.8427369526635944,"(1.99, 4.0]"
1.3128762637011624,0.8973338303081135,"(8.0, 10.0]"
1.8319882544877024,0.7583658535361951,"(1.99, 4.0]"
0.0566470688970174,1.0075319435373893,"(4.0, 6.0]"
-0.381872634375541,0.580913925823424,"(6.0, 8.0]"
0.0747107196268395,1.290921281084258,"(1.99, 4.0]"
-0.0292986669362872,1.22424119054306,"(6.0, 8.0]"
0.033935681957005,0.8445435774434206,"(1.99, 4.0]"
2.0053675275593883,1.2025939827227587,"(8.0, 10.0]"
2.1560375617366017,1.5913286839938126,"(6.0, 8.0]"
0.4125664447592207,0.8527719730233696,"(6.0, 8.0]"
-2.457658107037897,0.5843923144248904,"(1.99, 4.0]"
-0.0152285615875527,1.293218656967559,"(4.0, 6.0]"
1.814134744014872,0.8757276756008694,"(10.0, 12.0]"
-0.761410274835894,0.9538871363206254,"(1.99, 4.0]"
2.455454726813513,1.245974462363038,"(4.0, 6.0]"
-0.3988617068486427,1.152689980482771,"(6.0, 8.0]"
0.3017884283085085,0.6213344624725743,"(4.0, 6.0]"
3.04290350696461,0.8930568021455889,"(6.0, 8.0]"
0.9787575220566004,0.7698560206247658,"(4.0, 6.0]"
0.0345272811763892,0.7834676708751163,"(4.0, 6.0]"
0.3772867216074172,0.9952650360940904,"(8.0, 10.0]"
-2.254092239243824,0.4892571224509818,"(1.99, 4.0]"
-1.9531279018653271,0.3505120008376644,"(1.99, 4.0]"
0.8751552608025956,0.7945743560265986,"(4.0, 6.0]"
-2.128548991310667,0.948477063094228,"(4.0, 6.0]"
-1.9226649637553277,0.712082047620159,"(1.99, 4.0]"
-2.3601773652699185,1.254270915301599,"(1.99, 4.0]"
-2.74272571734795,0.6210790969748512,"(4.0, 6.0]"
1.2976371894864938,1.2473405809105194,"(4.0, 6.0]"
1.9349713359821143,1.4282274813686646,"(4.0, 6.0]"
0.3132469479221487,1.2120595649083037,"(4.0, 6.0]"
-0.2677602681116567,0.6098462279866229,"(4.0, 6.0]"
-1.7193026109966656,1.059457629191752,"(1.99, 4.0]"
-0.6022153349505874,0.9932051622774476,"(6.0, 8.0]"
2.80181934117314,0.8835642332840832,"(6.0, 8.0]"
0.5871282548777104,1.19579128563074,"(4.0, 6.0]"
-1.3691033081207644,0.7349178001350065,"(6.0, 8.0]"
1.5987069666992393,0.8616055976349631,"(6.0, 8.0]"
0.342260367503792,0.8197535268038116,"(4.0, 6.0]"
-1.8730974618579588,0.8757711161118578,"(1.99, 4.0]"
-0.8275271309041662,0.865805317010199,"(6.0, 8.0]"
1.9746244864455225,0.986242764064343,"(8.0, 10.0]"
-1.7669028065484604,0.7194027474951907,"(4.0, 6.0]"
-2.8307946184859967,0.6337052126039877,"(6.0, 8.0]"
0.6479129372373539,0.8927345646626392,"(4.0, 6.0]"
-2.5502218685003677,0.9250373604572748,"(1.99, 4.0]"
0.0792890023309193,0.9817457525864144,"(1.99, 4.0]"
-0.0355839852492454,0.951686059229546,"(4.0, 6.0]"
-1.8834793240655288,0.8311351781311282,"(4.0, 6.0]"
-2.438308429429121,1.1525708093141198,"(4.0, 6.0]"
