             W  Category=High  Category=Low  Category=Mid
(-2.33, -1.82]              2             0             0
(-1.82, -1.32]              4             4             4
(-1.32, -0.82]              4             6             3
(-0.82, -0.32]              8             6             9
 (-0.32, 0.18]             10            14             7
  (0.18, 0.68]             15            11             6
  (0.68, 1.18]              8             6             4
  (1.18, 1.68]              4             2             3
  (1.68, 2.19]              2             0             0
  (2.19, 2.69]              0             1             2
