             X  C2=R  C2=S  C2=T
(-3.15, -2.86]     0     0     0
(-2.86, -2.56]     0     0     1
(-2.56, -2.27]     0     0     1
(-2.27, -1.97]     0     0     0
(-1.97, -1.68]     0     0     0
(-1.68, -1.38]     1     0     0
(-1.38, -1.08]     3     1     0
(-1.08, -0.79]     0     1     1
(-0.79, -0.49]     1     1     2
(-0.49, -0.20]     2     0     0
 (-0.20, 0.10]     0     1     2
  (0.10, 0.39]     0     3     1
  (0.39, 0.69]     3     1     1
  (0.69, 0.99]     1     0     2
  (0.99, 1.28]     1     2     3
  (1.28, 1.58]     1     0     1
  (1.58, 1.87]     5     1     1
  (1.87, 2.17]     0     1     2
  (2.17, 2.46]     1     1     0
  (2.46, 2.76]     1     0     2
